"pid7","pid_partylean","group_colprofs","imp_schteach","votereg","education_importance","feeling_college_professors","party"
"Strong Republican","inapplicable, legitimate skip","70","Extremely important","Yes",5,70,"Republican"
"Strong Democrat","inapplicable, legitimate skip","100","Moderately important","Yes",3,100,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","83","Moderately important","Yes",3,83,"Democrat"
"Independent","Closer to the Republican Party","6","Extremely important","Yes",5,6,"Republican"
"Lean Republican","Closer to the Republican Party","15","Extremely important","Yes",5,15,"Republican"
"Strong Republican","inapplicable, legitimate skip","30","Extremely important","Yes",5,30,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","84","Very important","Yes",4,84,"Democrat"
"Strong Republican","inapplicable, legitimate skip","13","Moderately important","Yes",3,13,"Republican"
"Strong Democrat","inapplicable, legitimate skip","71","Extremely important","Yes",5,71,"Democrat"
"Lean Republican","Closer to the Republican Party","91","Extremely important","No",5,91,"Republican"
"Lean Democrat","Closer to the Democratic Party","85","Slightly important","Yes",2,85,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","80","Moderately important","Yes",3,80,"Democrat"
"Strong Republican","inapplicable, legitimate skip","39","Extremely important","Yes",5,39,"Republican"
"Lean Republican","Closer to the Republican Party","50","Extremely important","No",5,50,"Republican"
"Strong Democrat","inapplicable, legitimate skip","51","Moderately important","Yes",3,51,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","76","Moderately important","Yes",3,76,"Republican"
"Lean Republican","Closer to the Republican Party","not asked","Very important","Yes",4,NA,"Republican"
"Lean Republican","Closer to the Republican Party","20","Extremely important","Yes",5,20,"Republican"
"Strong Republican","inapplicable, legitimate skip","4","Extremely important","Yes",5,4,"Republican"
"Lean Democrat","Neither","49","Not at all important","No",1,49,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","50","Very important","No",4,50,"Democrat"
"Strong Republican","inapplicable, legitimate skip","14","Extremely important","Yes",5,14,"Republican"
"Lean Republican","Neither","0","Extremely important","Yes",5,0,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","35","Extremely important","Yes",5,35,"Republican"
